จาก \ ไป,เตาปูน,บางซื่อ,กำแพงเพชร,สวนจตุจักร,พหลโยธิน,ลาดพร้าว,รัชดาภิเษก,สุทธิสาร,ห้วยขวาง,ศูนย์วัฒนธรรมแห่งประเทศไทย,พระราม 9,เพชรบุรี,สุขุมวิท,ศูนย์การประชุมแห่งชาติสิริกิติ์,คลองเตย,ลุมพินี,สีลม,สามย่าน,หัวลำโพง,วัดมังกร,สามยอด,สนามไชย,อิสรภาพ,ท่าพระ,บางไผ่,บางหว้า,เพชรเกษม 48,ภาษีเจริญ,บางแค,หลักสอง,บางโพ,บางอ้อ,บางพลัด,สิรินธร,บางยี่ขัน,บางขุนนนท์,ไฟฉาย,จรัญฯ 13
เตาปูน,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17
บางซื่อ,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20
กำแพงเพชร,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22
สวนจตุจักร,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25
พหลโยธิน,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27
ลาดพร้าว,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30
รัชดาภิเษก,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32
สุทธิสาร,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35
ห้วยขวาง,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37
ศูนย์วัฒนธรรมแห่งประเทศไทย,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40
พระราม 9,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42
เพชรบุรี,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
สุขุมวิท,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45
ศูนย์การประชุมแห่งชาติสิริกิติ์,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45
คลองเตย,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45
ลุมพินี,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45
สีลม,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45
สามย่าน,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45
หัวลำโพง,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45
วัดมังกร,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45
สามยอด,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45
สนามไชย,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45
อิสรภาพ,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45
ท่าพระ,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45
บางไผ่,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45
บางหว้า,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45
เพชรเกษม 48,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42
ภาษีเจริญ,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40
บางแค,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37
หลักสอง,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35
บางโพ,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32
บางอ้อ,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30
บางพลัด,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27
สิรินธร,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25
บางยี่ขัน,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22
บางขุนนนท์,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20
ไฟฉาย,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17
จรัญฯ 13,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17
