จาก \ ไป,ศูนย์ราชการนนทบุรี,แคราย,สนามบินน้ำ,สามัคคี,กรมชลประทาน,แยกปากเกร็ด,เลี่ยงเมืองปากเกร็ด,แจ้งวัฒนะ-ปากเกร็ด 28,ศรีรัช,เมืองทองธานี,แจ้งวัฒนะ 14,ศูนย์ราชการเฉลิมพระเกียรติ,โทรคมนาคมแห่งชาติ,หลักสี่,ราชภัฏพระนคร,วัดพระศรีมหาธาตุ,รามอินทรา 3,ลาดปลาเค้า,รามอินทรา กม.4,มัยลาภ,วัชรพล,รามอินทรา กม.6,คู้บอน,รามอินทรา กม.9,วงแหวนรามอินทรา,นพรัตน์,บางชัน,เศรษฐบุตรบำเพ็ญ,ตลาดมีนบุรี,มีนบุรี
PK01 ศูนย์ราชการนนทบุรี,15,18,23,28,30,34,37,41,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK02 แคราย,18,15,19,25,28,30,34,38,41,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK03 สนามบินน้ำ,23,19,15,21,24,26,29,34,38,40,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK04 สามัคคี,28,25,21,15,18,22,25,29,32,36,39,41,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK05 กรมชลประทาน,30,28,24,18,15,18,22,26,29,32,36,39,41,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK06 แยกปากเกร็ด,34,30,26,22,18,15,18,23,27,29,34,36,39,41,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK07 เลี่ยงเมืองปากเกร็ด,37,34,29,25,22,18,15,19,24,26,30,32,36,38,40,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK08 แจ้งวัฒนะ-ปากเกร็ด 28,41,38,34,29,26,23,19,15,19,23,26,28,31,34,36,39,41,43,45,45,45,45,45,45,45,45,45,45,45,45
PK09 ศรีรัช,44,41,38,32,29,27,24,19,15,18,23,25,28,30,32,36,38,40,42,44,45,45,45,45,45,45,45,45,45,45
PK10 เมืองทองธานี,45,44,40,36,32,29,26,23,18,15,19,22,25,27,29,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45
PK11 แจ้งวัฒนะ 14,45,45,44,39,36,34,30,26,23,19,15,18,21,23,26,28,30,33,37,39,42,44,45,45,45,45,45,45,45,45
PK12 ศูนย์ราชการเฉลิมพระเกียรติ,45,45,45,41,39,36,32,28,25,22,18,15,18,21,23,26,28,31,34,36,40,42,45,45,45,45,45,45,45,45
PK13 โทรคมนาคมแห่งชาติ,45,45,45,44,41,39,36,31,28,25,21,18,15,18,21,24,26,30,31,34,37,40,42,45,45,45,45,45,45,45
PK14 หลักสี่,45,45,45,45,43,41,38,34,30,27,23,21,18,15,18,21,23,28,31,34,37,37,40,43,45,45,45,45,45,45
PK15 ราชภัฏพระนคร,45,45,45,45,45,43,40,36,32,29,26,23,21,18,15,18,21,26,29,31,35,35,37,41,44,45,45,45,45,45
PK16 วัดพระศรีมหาธาตุ,45,45,45,45,45,45,43,39,36,32,28,26,24,21,18,15,17,23,26,28,31,32,36,39,43,45,45,45,45,45
PK17 รามอินทรา 3,45,45,45,45,45,45,45,41,38,35,30,28,26,23,21,17,15,21,24,26,29,27,30,34,38,42,45,45,45,45
PK18 ลาดปลาเค้า,45,45,45,45,45,45,45,43,40,37,33,31,30,28,26,23,21,15,18,21,25,24,27,30,35,39,42,44,45,45
PK19 รามอินทรา กม.4,45,45,45,45,45,45,45,45,42,40,37,34,31,31,29,26,24,18,15,17,22,22,25,28,32,37,38,41,42,45
PK20 มัยลาภ,45,45,45,45,45,45,45,45,44,42,39,36,34,34,31,28,26,21,17,15,19,18,22,25,29,34,36,38,39,42
PK21 วัชรพล,45,45,45,45,45,45,45,45,45,45,42,40,37,37,35,31,29,25,22,19,15,15,18,22,26,30,32,36,36,39
PK22 รามอินทรา กม.6,45,45,45,45,45,45,45,45,45,45,44,42,40,37,35,32,27,24,22,18,15,15,15,19,23,28,29,32,35,35
PK23 คู้บอน,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,36,30,27,25,22,18,15,15,15,19,24,25,28,32,30
PK24 รามอินทรา กม.9,45,45,45,45,45,45,45,45,45,45,45,45,45,43,41,39,34,30,28,25,22,19,15,15,15,21,21,24,27,25
PK25 วงแหวนรามอินทรา,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,43,38,35,32,29,26,23,19,15,15,15,18,21,23,23
PK26 นพรัตน์,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,39,37,34,30,28,24,21,15,15,15,19,19,18
PK27 บางชัน,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,38,36,32,29,25,21,18,15,15,15,15,15
PK28 เศรษฐบุตรบำเพ็ญ,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,41,38,36,32,28,24,21,19,15,15,15,15
PK29 ตลาดมีนบุรี,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,39,36,35,32,27,23,19,15,15,15,15
PK30 มีนบุรี,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,39,35,30,25,23,18,15,15,15,15
