จาก \ ไป,คลองบางไผ่,ตลาดบางใหญ่,สามแยกบางใหญ่,บางพลู,บางรักใหญ่,บางรักน้อยท่าอิฐ,ไทรม้า,สะพานพระนั่งเกล้า,แยกนนทบุรี 1,บางกระสอ,ศูนย์ราชการนนทบุรี,กระทรวงสาธารณสุข,แยกติวานนท์,วงศ์สว่าง,บางซ่อน,เตาปูน
PP01 คลองบางไผ่,14,14,17,20,23,25,27,30,33,36,38,40,42,42,42,42
PP02 ตลาดบางใหญ่,17,14,14,17,20,22,24,27,30,33,35,37,40,42,42,42
PP03 สามแยกบางใหญ่,20,17,14,14,17,19,21,24,27,30,32,34,37,39,42,42
PP04 บางพลู,23,20,17,14,14,16,18,21,24,27,29,31,34,36,39,42
PP05 บางรักใหญ่,25,22,19,16,14,14,16,19,22,25,27,29,32,34,37,40
PP06 บางรักน้อยท่าอิฐ,27,24,21,18,16,14,14,17,20,23,25,27,30,32,35,38
PP07 ไทรม้า,30,27,24,21,19,17,14,14,17,20,22,24,27,29,32,35
PP08 สะพานพระนั่งเกล้า,33,30,27,24,22,20,17,14,14,17,19,21,24,26,29,32
PP09 แยกนนทบุรี 1,36,33,30,27,25,23,20,17,14,14,16,18,21,23,26,29
PP10 บางกระสอ,38,35,32,29,27,25,22,19,16,14,14,16,19,21,24,27
PP11 ศูนย์ราชการนนทบุรี,40,37,34,31,29,27,24,21,18,16,14,14,17,19,22,25
PP12 กระทรวงสาธารณสุข,42,40,37,34,32,30,27,24,21,19,17,14,14,16,19,22
PP13 แยกติวานนท์,42,42,39,36,34,32,29,26,23,21,19,17,14,14,17,20
PP14 วงศ์สว่าง,42,42,42,39,37,35,32,29,26,24,22,19,17,14,14,17
PP15 บางซ่อน,42,42,42,42,40,38,35,32,29,27,25,22,20,17,14,14
PP16 เตาปูน,42,42,42,42,42,41,38,35,32,30,28,25,23,20,17,16
