จาก \ ไป,ลาดพร้าว,ภาวนา,โชคชัย 4,ลาดพร้าว 71,ลาดพร้าว 83,มหาดไทย,ลาดพร้าว 101,บางกะปิ,แยกลำสาลี,ศรีกรีฑา,หัวหมาก,กลันตัน,ศรีนุช,ศรีนครินทร์ 38,สวนหลวง ร.9,ศรีอุดม,ศรีเอี่ยม,ศรีลาซาล,ศรีแบริ่ง,ศรีด่าน,ศรีเทพา,ทิพวัล,สำโรง
YL01 ลาดพร้าว,15,19,23,27,30,33,36,39,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45
YL02 ภาวนา,19,15,19,24,26,29,31,36,39,42,45,45,45,45,45,45,45,45,45,45,45,45,45
YL03 โชคชัย 4,23,19,15,21,23,26,28,31,35,39,43,45,45,45,45,45,45,45,45,45,45,45,45
YL04 ลาดพร้าว 71,27,24,21,15,18,22,24,27,30,33,38,42,45,45,45,45,45,45,45,45,45,45,45
YL05 ลาดพร้าว 83,30,26,23,18,15,19,22,25,28,31,36,40,44,45,45,45,45,45,45,45,45,45,45
YL06 มหาดไทย,33,29,26,22,19,15,18,22,25,28,32,37,41,44,45,45,45,45,45,45,45,45,45
YL07 ลาดพร้าว 101,36,31,28,24,22,18,15,19,23,26,30,33,39,42,45,45,45,45,45,45,45,45,45
YL08 บางกะปิ,39,36,31,27,25,22,19,15,18,23,27,30,35,38,41,45,45,45,45,45,45,45,45
YL09 แยกลำสาลี,42,39,35,30,28,25,23,18,15,19,24,27,31,35,38,42,45,45,45,45,45,45,45
YL10 ศรีกรีฑา,45,42,39,33,31,28,26,23,19,15,21,24,28,31,35,39,42,45,45,45,45,45,45
YL11 หัวหมาก,45,45,43,38,36,32,30,27,24,21,15,19,24,27,30,35,38,41,45,45,45,45,45
YL12 กลันตัน,45,45,45,42,40,37,33,30,27,24,19,15,21,24,27,31,33,38,42,45,45,45,45
YL13 ศรีนุช,45,45,45,45,44,41,39,35,31,28,24,21,15,18,22,27,29,33,38,41,44,45,45
YL14 ศรีนครินทร์ 38,45,45,45,45,45,44,42,38,35,31,27,24,18,15,18,24,26,30,35,38,41,45,45
YL15 สวนหลวง ร.9,45,45,45,45,45,45,45,41,38,35,30,27,22,18,15,21,23,27,31,35,38,42,45
YL16 ศรีอุดม,45,45,45,45,45,45,45,45,42,39,35,31,27,24,21,15,18,23,27,30,33,38,43
YL17 ศรีเอี่ยม,45,45,45,45,45,45,45,45,45,42,38,33,29,26,23,18,15,19,24,28,30,36,40
YL18 ศรีลาซาล,45,45,45,45,45,45,45,45,45,45,41,38,33,30,27,23,19,15,19,24,27,31,36
YL19 ศรีแบริ่ง,45,45,45,45,45,45,45,45,45,45,45,42,38,35,31,27,24,19,15,19,23,27,32
YL20 ศรีด่าน,45,45,45,45,45,45,45,45,45,45,45,45,41,38,35,30,28,24,19,15,18,24,28
YL21 ศรีเทพา,45,45,45,45,45,45,45,45,45,45,45,45,44,41,38,33,30,27,23,18,15,21,25
YL22 ทิพวัล,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,38,36,31,27,24,21,15,21
YL23 สำโรง,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,40,36,32,28,25,21,15
