จาก \ ไป,PK01,PK02,PK03,PK04,PK05,PK06,PK07,PK08,PK09,PK10,PK11,PK12,PK13,PK14,PK15,PK16,PK17,PK18,รามอินทรา กม.4,PK20,PK21,รามอินทรา กม.6,PK23,รามอินทรา กม.9,PK25,PK26,PK27,PK28,PK29,PK30
PK01,15,18,23,28,30,34,37,41,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK02,18,15,19,25,28,30,34,38,41,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK03,23,19,15,21,24,26,29,34,38,40,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK04,28,25,21,15,18,22,25,29,32,36,39,41,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK05,30,28,24,18,15,18,22,26,29,32,36,39,41,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK06,34,30,26,22,18,15,18,23,27,29,34,36,39,41,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK07,37,34,29,25,22,18,15,19,24,26,30,32,36,38,40,43,45,45,45,45,45,45,45,45,45,45,45,45,45,45
PK08,41,38,34,29,26,23,19,15,19,23,26,28,31,34,36,39,41,45,45,45,45,45,45,45,45,45,45,45,45,45
PK09,44,41,38,32,29,27,24,19,15,18,23,25,28,30,32,36,38,43,45,45,45,45,45,45,45,45,45,45,45,45
PK10,45,44,40,36,32,29,26,23,18,15,19,22,25,27,29,32,35,40,42,44,45,45,45,45,45,45,45,45,45,45
PK11,45,45,44,39,36,34,30,26,23,19,15,18,21,23,26,28,30,36,39,41,44,45,45,45,45,45,45,45,45,45
PK12,45,45,45,41,39,36,32,28,25,22,18,15,18,21,23,26,28,34,37,39,42,44,45,45,45,45,45,45,45,45
PK13,45,45,45,44,41,39,36,31,28,25,21,18,15,18,21,24,26,30,34,36,40,42,45,45,45,45,45,45,45,45
PK14,45,45,45,45,43,41,38,34,30,27,23,21,18,15,18,21,23,28,31,34,37,40,42,45,45,45,45,45,45,45
PK15,45,45,45,45,45,43,40,36,32,29,26,23,21,18,15,18,21,26,29,31,35,37,40,43,45,45,45,45,45,45
PK16,45,45,45,45,45,45,43,39,36,32,28,26,24,21,18,15,17,23,26,28,31,35,37,41,44,45,45,45,45,45
PK17,45,45,45,45,45,45,45,41,38,35,30,28,26,23,21,17,15,21,24,26,29,32,36,39,43,45,45,45,45,45
PK18,45,45,45,45,45,45,45,45,43,40,36,34,30,28,26,23,21,15,18,21,25,27,30,34,38,42,45,45,45,45
รามอินทรา กม.4,45,45,45,45,45,45,45,45,45,42,39,37,34,31,29,26,24,18,15,17,22,24,27,30,35,39,44,45,45,45
PK20,45,45,45,45,45,45,45,45,45,44,41,39,36,34,31,28,26,21,17,15,19,22,25,28,32,37,42,44,45,45
PK21,45,45,45,45,45,45,45,45,45,45,44,42,40,37,35,31,29,25,22,19,15,18,22,25,29,34,38,41,45,45
รามอินทรา กม.6,45,45,45,45,45,45,45,45,45,45,45,44,42,40,37,35,32,27,24,22,18,15,18,22,26,30,36,38,42,45
PK23,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,36,30,27,25,22,18,15,19,23,28,32,36,39,42
รามอินทรา กม.9,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,41,39,34,30,28,25,22,19,15,19,24,29,32,36,39
PK25,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,43,38,35,32,29,26,23,19,15,21,25,28,32,35
PK26,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,39,37,34,30,28,24,21,15,21,24,27,30
PK27,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,42,38,36,32,29,25,21,15,18,23,25
PK28,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,41,38,36,32,28,24,18,15,19,23
PK29,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,39,36,32,27,23,19,15,18
PK30,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,39,35,30,25,23,18,15
