จาก \ ไป,BL10,BL11,BL12,BL13,BL14,BL15,BL16,BL17,BL18,BL19,BL20,BL21,BL22,BL23,BL24,BL25,BL26,BL27,BL28,BL29,BL30,BL31,BL32,BL01,BL33,BL34,BL35,BL36,BL37,BL38,BL09,BL08,BL07,BL06,BL05,BL04,BL03,BL02
BL10,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17
BL11,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20
BL12,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22
BL13,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25
BL14,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27
BL15,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30
BL16,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32
BL17,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35
BL18,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37
BL19,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40
BL20,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42
BL21,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
BL22,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45
BL23,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45
BL24,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45
BL25,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45
BL26,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45
BL27,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45
BL28,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45
BL29,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45
BL30,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45
BL31,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45
BL32,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45
BL01,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45,45
BL33,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45,45
BL34,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42,45
BL35,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40,42
BL36,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37,40
BL37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35,37
BL38,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32,35
BL09,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30,32
BL08,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27,30
BL07,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25,27
BL06,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22,25
BL05,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20,22
BL04,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17,20
BL03,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17,17
BL02,17,20,22,25,27,30,32,35,37,40,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,40,37,35,32,30,27,25,22,20,17,17
