จาก \ ไป,ตลิ่งชัน,บางบำหรุ,PP15,RN01,RN02,RN03,RN04,RN05,RN06,RN07,RN08,RN09,RN10
ตลิ่งชัน,12,18,29,35,38,41,42,42,42,42,42,42,42
บางบำหรุ,18,12,23,29,32,35,37,39,42,42,42,42,42
PP15,29,23,12,18,22,25,26,29,33,36,39,42,42
RN01,35,29,18,12,16,19,20,23,27,30,33,42,42
RN02,38,32,22,16,12,15,17,19,23,26,29,38,42
RN03,41,35,25,19,15,12,14,16,20,23,26,35,40
RN04,42,37,26,20,17,14,12,14,19,22,25,34,38
RN05,42,39,29,23,19,16,14,12,17,20,23,32,36
RN06,42,42,33,27,23,20,19,17,12,15,18,27,32
RN07,42,42,36,30,26,23,22,20,15,12,15,24,29
RN08,42,42,39,33,29,26,25,23,18,15,12,21,26
RN09,42,42,42,42,38,35,34,32,27,24,21,12,17
RN10,42,42,42,42,42,40,38,36,32,29,26,17,12
