จาก \ ไป,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,PP09,PP10,PP11,PP12,PP13,PP14,PP15,PP16
PP01,14,14,17,20,23,25,27,30,33,36,38,40,42,42,42,42
PP02,17,14,14,17,20,22,24,27,30,33,35,37,40,42,42,42
PP03,20,17,14,14,17,19,21,24,27,30,32,34,37,39,42,42
PP04,23,20,17,14,14,16,18,21,24,27,29,31,34,36,39,42
PP05,25,22,19,16,14,14,16,19,22,25,27,29,32,34,37,40
PP06,27,24,21,18,16,14,14,17,20,23,25,27,30,32,35,38
PP07,30,27,24,21,19,17,14,14,17,20,22,24,27,29,32,35
PP08,33,30,27,24,22,20,17,14,14,17,19,21,24,26,29,32
PP09,36,33,30,27,25,23,20,17,14,14,16,18,21,23,26,29
PP10,38,35,32,29,27,25,22,19,16,14,14,16,19,21,24,27
PP11,40,37,34,31,29,27,24,21,18,16,14,14,17,19,22,25
PP12,42,40,37,34,32,30,27,24,21,19,17,14,14,16,19,22
PP13,42,42,39,36,34,32,29,26,23,21,19,17,14,14,17,20
PP14,42,42,42,39,37,35,32,29,26,24,22,19,17,14,14,17
PP15,42,42,42,42,40,38,35,32,29,27,25,22,20,17,14,14
PP16,42,42,42,42,42,41,38,35,32,30,28,25,23,20,17,16
