จาก \ ไป,YL01,YL02,YL03,YL04,YL05,YL06,YL07,YL08,YL09,YL10,YL11,YL12,YL13,YL14,YL15,YL16,YL17,YL18,YL19,YL20,YL21,YL22,YL23
YL01,15,19,23,27,30,33,36,39,42,45,45,45,45,45,45,45,45,45,45,45,45,45,45
YL02,19,15,19,24,26,29,31,36,39,42,45,45,45,45,45,45,45,45,45,45,45,45,45
YL03,23,19,15,21,23,26,28,31,35,39,43,45,45,45,45,45,45,45,45,45,45,45,45
YL04,27,24,21,15,18,22,24,27,30,33,38,42,45,45,45,45,45,45,45,45,45,45,45
YL05,30,26,23,18,15,19,22,25,28,31,36,40,44,45,45,45,45,45,45,45,45,45,45
YL06,33,29,26,22,19,15,18,22,25,28,32,37,41,44,45,45,45,45,45,45,45,45,45
YL07,36,31,28,24,22,18,15,19,23,26,30,33,39,42,45,45,45,45,45,45,45,45,45
YL08,39,36,31,27,25,22,19,15,18,23,27,30,35,38,41,45,45,45,45,45,45,45,45
YL09,42,39,35,30,28,25,23,18,15,19,24,27,31,35,38,42,45,45,45,45,45,45,45
YL10,45,42,39,33,31,28,26,23,19,15,21,24,28,31,35,39,42,45,45,45,45,45,45
YL11,45,45,43,38,36,32,30,27,24,21,15,19,24,27,30,35,38,41,45,45,45,45,45
YL12,45,45,45,42,40,37,33,30,27,24,19,15,21,24,27,31,33,38,42,45,45,45,45
YL13,45,45,45,45,44,41,39,35,31,28,24,21,15,18,22,27,29,33,38,41,44,45,45
YL14,45,45,45,45,45,44,42,38,35,31,27,24,18,15,18,24,26,30,35,38,41,45,45
YL15,45,45,45,45,45,45,45,41,38,35,30,27,22,18,15,21,23,27,31,35,38,42,45
YL16,45,45,45,45,45,45,45,45,42,39,35,31,27,24,21,15,18,23,27,30,33,38,43
YL17,45,45,45,45,45,45,45,45,45,42,38,33,29,26,23,18,15,19,24,28,30,36,40
YL18,45,45,45,45,45,45,45,45,45,45,41,38,33,30,27,23,19,15,19,24,27,31,36
YL19,45,45,45,45,45,45,45,45,45,45,45,42,38,35,31,27,24,19,15,19,23,27,32
YL20,45,45,45,45,45,45,45,45,45,45,45,45,41,38,35,30,28,24,19,15,18,24,28
YL21,45,45,45,45,45,45,45,45,45,45,45,45,44,41,38,33,30,27,23,18,15,21,25
YL22,45,45,45,45,45,45,45,45,45,45,45,45,45,45,42,38,36,31,27,24,21,15,21
YL23,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,40,36,32,28,25,21,15
